 , 男性人口, 女性人口, 婚生出生登記數, 結婚登記對數
 新北市,1953397,2033292,30418,24491
 臺北市,1281917,1401340,24416,16157
 桃園市,1089619,1098398,22433,14648
 臺中市,1374085,1412985,23448,17423
 臺南市,942278,944244,13303,10333
 高雄市,1375515,1401397,19380,15979
 宜蘭縣,230976,225631,3185,2487
 新竹縣,282073,270096,4762,3160
 苗栗縣,285844,267963,3703,3049
 彰化縣,653646,628812,12725,7094
 南投縣,256732,244319,3159,2653
 雲林縣,358179,332194,4348,3246
 嘉義縣,265882,245300,2660,2386
 屏東縣,424486,405453,4506,4346
 臺東縣,113378,106162,1298,1157
 花蓮縣,167179,162058,2140,2008
 澎湖縣,53648,50425,1007,514
 基隆市,185870,185588,2132,2140
 新竹市,217831,223301,4169,2679
 嘉義市,130974,138424,1846,1362
 金門縣,68722,68734,1250,661
 連江縣,7349,5531,137,61